,Cell_id,General_area,Sub_area,Layer,Dendrite_type,Hemisphere,cell_reporter_status,line_name,Database,Experiment,Animal,Recording_Temperature,Exc_Inh,Exc_Inh_FT,Cell_type,Layer_second,Donor_id
13,170130AL133_4,SS,Unknown,2/3,Unknown,Unknown,Unknown,Unknown,Da_Silva_Lantyer_DB,In_Vitro,Mouse,Room Temperature,--,--,--,2/3,5
124,161214AL113_3,SS,Unknown,2/3,Unknown,Unknown,Unknown,Unknown,Da_Silva_Lantyer_DB,In_Vitro,Mouse,Room Temperature,--,--,--,2/3,4
